name,id,top_category,rating,review_count,postal_code
Pita Press,pita-press-financial-district,greek,3.5,135,10005
,,,,,
Sam's Falafel Stand,sams-falafel-stand-new-york,falafel,4.5,154,10006
,,,,,
Biryani House Cart,biryani-house-cart-new-york,indpak,4,116,10005
,,,,,
ESSEN,essen-new-york-3,delis,3,32,10004
,,,,,
Jiannetto's Pizza Truck,jiannettos-pizza-truck-new-york-3,foodstands,4.5,23,10270
,,,,,
Veronica's Kitchen,veronicas-kitchen-new-york,soulfood,4,130,10005
,,,,,
Dig Inn,dig-inn-new-york-5,tradamerican,3.5,219,10005
,,,,,
El Luchador,el-luchador-new-york-2,mexican,3.5,276,10038
,,,,,
Trading Post,trading-post-new-york,bars,4,218,10038
,,,,,
Terri,terri-new-york-4,vegan,4,296,10038
,,,,,
Roti Modern Mediterranean,roti-modern-mediterranean-new-york,mediterranean,4,164,10038
,,,,,
Alan's Falafel,alans-falafel-new-york,falafel,4,67,10005
,,,,,
Mighty Quinn's Barbeque,mighty-quinns-barbeque-new-york-4,bbq,4,149,10281
,,,,,
The Malt House FiDi,the-malt-house-fidi-new-york,gastropubs,4,137,10038
,,,,,
Go! Go! Curry!,go-go-curry-new-york-10,japanese,4,203,10038
,,,,,
Dig Inn,dig-inn-new-york-13,tradamerican,4,90,10281
,,,,,
Kuu Ramen,kuu-ramen-new-york,ramen,4,209,10038
,,,,,
d Elici,d-elici-new-york,salad,4.5,64,10038
,,,,,
Stage Door Pizza,stage-door-pizza-new-york,pizza,4,107,10007
,,,,,
Nish Nush,nish-nush-new-york-5,vegetarian,4.5,65,10038
,,,,,
Hudson Eats At Brookfield Place,hudson-eats-at-brookfield-place-new-york,food_court,4.5,252,10281
,,,,,
Pisillo Italian Panini,pisillo-italian-panini-new-york,italian,4.5,306,10038
,,,,,
Takahachi Bakery,takahachi-bakery-new-york,bakeries,4,559,10007
,,,,,
My Belly's Playlist,my-bellys-playlist-new-york,sandwiches,3.5,85,10007
,,,,,
Sophie's Cuban Cuisine,sophies-cuban-cuisine-new-york-5,cuban,3.5,187,10007
,,,,,
The Hummus & Pita,the-hummus-and-pita-new-york,mediterranean,4,138,10007
,,,,,
Nish Nush,nish-nush-new-york,mideastern,4.5,448,10013
,,,,,
Delimarie,delimarie-manhattan,delis,4,75,10007
,,,,,
Sandwich House,sandwich-house-new-york,sandwiches,4,213,10038
,,,,,
Tribeca's Kitchen,tribecas-kitchen-new-york,newamerican,4,167,10013
,,,,,
Melt Shop,melt-shop-new-york-7,tradamerican,4,221,10038
,,,,,
Shake Shack,shake-shack-new-york-11,burgers,4,766,10282
,,,,,
Two Hands Restaurant & Bar,two-hands-restaurant-and-bar-new-york,bars,4,77,10013
,,,,,
Zutto Japanese American Pub,zutto-japanese-american-pub-new-york-2,asianfusion,4,755,10013
,,,,,
Kori,kori-new-york,korean,4,411,10013
,,,,,
Raclette,raclette-new-york,sandwiches,4,367,10009
,,,,,
Westville - East,westville-east-new-york-3,tradamerican,4,906,10009
,,,,,
Baker's Pizza,bakers-pizza-new-york,pizza,4.5,55,10009
,,,,,
Crif Dogs,crif-dogs-new-york,hotdog,4,1906,10009
,,,,,
Five Tacos,five-tacos-new-york,mexican,4,240,10009
,,,,,
Sunny and Annie's,sunny-and-annies-new-york,sandwiches,4.5,379,10003
,,,,,
Xe May Sandwich Shop,xe-may-sandwich-shop-new-york,sandwiches,4.5,512,10009
,,,,,
Banh Mi Zon,banh-mi-zon-new-york-4,vietnamese,4.5,241,10009
,,,,,
Bobwhite Counter,bobwhite-counter-new-york-4,southern,4.5,490,10009
,,,,,
Caracas Arepa Bar,caracas-arepa-bar-new-york,venezuelan,4,2421,10009
,,,,,
Xi'an Famous Foods,xian-famous-foods-new-york-3,chinese,4,1319,10003
,,,,,
Senor Pollo,senor-pollo-new-york-3,latin,4,207,10003
,,,,,
Casa Adela,casa-adela-new-york,latin,4,273,10009
,,,,,
Upstate,upstate-new-york-2,seafood,4.5,1296,10003
,,,,,
Raku,raku-new-york-4,japanese,4.5,282,10003
,,,,,
Root & Bone,root-and-bone-new-york,southern,4,883,10009
,,,,,
Taqueria Diana,taqueria-diana-new-york,mexican,4,515,10003
,,,,,
Tac N Roll,tac-n-roll-new-york-3,asianfusion,4.5,71,10003
,,,,,
Tacos Cholula,tacos-cholula-new-york,mexican,4,120,10009
,,,,,
Gila's Nosh,gilas-nosh-new-york,coffee,4.5,221,10010
,,,,,
Shaka Burrito,shaka-burrito-new-york-3,mexican,3.5,169,10010
,,,,,
Mughlai Indian Cuisine,mughlai-indian-cuisine-new-york-3,indpak,4.5,111,10010
,,,,,
The Bluebell Cafe,the-bluebell-cafe-new-york,cafes,4,434,10010
,,,,,
Molly's,mollys-new-york,tradamerican,4,418,10010
,,,,,
Ampersand,ampersand-new-york-2,cocktailbars,4.5,71,10010
,,,,,
Lamarca Cheese Shop,lamarca-cheese-shop-new-york,cheese,4.5,86,10010
,,,,,
Patrizia's Pizza and Pasta,patrizias-pizza-and-pasta-new-york,italian,4.5,198,10016
,,,,,
Nick's Pizza Bar,nicks-pizza-bar-new-york,pizza,4,142,10016
,,,,,
Lamazou,lamazou-new-york,cheese,4.5,253,10016
,,,,,
Bao Bao Cafe,bao-bao-cafe-new-york,cafes,4,175,10010
,,,,,
Luu's Baguette,luus-baguette-new-york,vietnamese,4,381,10010
,,,,,
Grill 21,grill-21-new-york,filipino,4,374,10010
,,,,,
Midwinter Kitchen,midwinter-kitchen-new-york,comfortfood,4.5,88,10003
,,,,,
Pippali,pippali-new-york,indpak,4,473,10016
,,,,,
Covina,covina-new-york-3,newamerican,4.5,102,10016
,,,,,
Posto,posto-new-york,pizza,4,508,10003
,,,,,
Curry Express,curry-express-new-york,indpak,4,160,10016
,,,,,
Jack's Sliders & Sushi,jacks-sliders-and-sushi-new-york,japanese,4,257,10003
,,,,,
Dig Inn,dig-inn-new-york-19,newamerican,4,121,10010
,,,,,
Wafels & Dinges,wafels-and-dinges-new-york,desserts,4.5,1396,10011
,,,,,
Cookshop,cookshop-new-york,newamerican,4,1517,10011
,,,,,
Le Pif,le-pif-new-york-8,wine_bars,5,52,10011
,,,,,
The Lobster Place,the-lobster-place-new-york-2,seafoodmarkets,4,959,10011
,,,,,
Very Fresh Noodles,very-fresh-noodles-new-york,taiwanese,4,81,10011
,,,,,
Num Pang Sandwich Shop,num-pang-sandwich-shop-new-york-4,cambodian,4,234,10011
,,,,,
Los Tacos No.1,los-tacos-no-1-new-york,mexican,4.5,1365,10011
,,,,,
Bottino Take-Out,bottino-take-out-new-york,sandwiches,4,113,10001
,,,,,
The Green Table,the-green-table-new-york-2,newamerican,4,472,10011
,,,,,
La Bergamote NYC,la-bergamote-nyc-new-york,french,4,257,10011
,,,,,
Dil-e Punjab Deli,dil-e-punjab-deli-new-york,indpak,4.5,148,10011
,,,,,
Mission Ceviche,mission-ceviche-new-york,foodstands,4.5,27,10014
,,,,,
Bareburger,bareburger-new-york-7,burgers,4,586,10011
,,,,,
Foragers Table,foragers-table-new-york-3,breakfast_brunch,4,316,10011
,,,,,
Maru 2,maru-2-new-york-2,japanese,4,71,10011
,,,,,
Wisefish Poké,wisefish-poké-new-york,seafood,4,266,10011
,,,,,
Burger & Barrel,burger-and-barrel-new-york-2,burgers,4,680,10012
,,,,,
La Churreria,la-churreria-new-york,sandwiches,4,218,10012
,,,,,
Bite,bite-new-york,sandwiches,4,191,10012
,,,,,
Jack's Wife Freda,jacks-wife-freda-new-york,breakfast_brunch,4,1014,10012
,,,,,
Eight Turn Crêpe,eight-turn-crêpe-new-york,creperies,4,540,10012
,,,,,
Jane,jane-new-york-2,tradamerican,4,2553,10012
,,,,,
Bò Cà Phê,bò-cà-phê-new-york-6,vietnamese,4,238,10012
,,,,,
